query_id,name,description,tags,query_engine,query_sql,is_private,is_archived,owner,g1,g2,g3,g4,g5
118,"lending protocol rates","","[""defi"",""lending""]",v2 Dune SQL,"SELECT pool, supply_rate, borrow_rate, utilization, total_supplied, total_borrowed",false,false,synthetic,defi,lending,lending_pool_rates_snapshot,pool|supply_rate|borrow_rate|utilization|supplied|borrowed,snapshot
119,"pool list with metrics","","[""defi"",""dex""]",v2 Dune SQL,"SELECT pool_address, token0_symbol, token1_symbol, fee_tier, tvl, volume_24h ORDER BY tvl DESC",false,false,synthetic,defi,dex,pool_registry_with_metrics,pool|token_pair|fee|tvl|volume,registry
120,"daily transaction count","","[""infrastructure""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, COUNT(*) AS tx_count, SUM(gas_used) AS total_gas FROM transactions GROUP BY 1 ORDER BY day",false,false,synthetic,infrastructure,transactions,daily_transaction_volume_timeseries,date|tx_count|gas_used,time_series
121,"top contracts by interaction","","[""infrastructure""]",v2 Dune SQL,"SELECT to AS contract, COUNT(*) AS calls, COUNT(DISTINCT tx_from) AS unique_users FROM transactions GROUP BY 1 ORDER BY calls DESC LIMIT 100",false,false,synthetic,infrastructure,contracts,top_contracts_by_usage_leaderboard,contract|call_count|unique_users,leaderboard
122,"wallet token portfolio","","[""holders""]",v2 Dune SQL,"WITH balances AS (...) prices AS (...) SELECT token_symbol, balance, usd_value, pct_of_portfolio WHERE address = 0x... ORDER BY usd_value DESC",false,false,synthetic,holders,balances,single_wallet_portfolio_snapshot,token|balance|usd_value|portfolio_pct,snapshot
123,"bridge daily volume","","[""bridge""]",v2 Dune SQL,"WITH daily AS (...) SELECT day, total_volume, unique_users, tx_count ORDER BY day",false,false,synthetic,bridge,crosschain,daily_bridge_volume_timeseries,date|volume|users|tx_count,time_series
124,"nft mint tracker","","[""nft""]",v2 Dune SQL,"SELECT block_time, minter, token_id, collection, mint_price FROM nft_mints ORDER BY block_time DESC",false,false,synthetic,nft,minting,recent_mint_events_series,time|minter|token_id|collection|price,series
125,"flash loan events","","[""defi"",""lending""]",v2 Dune SQL,"WITH flash AS (...) SELECT block_time, borrower, amount, fee, repaid FROM flashloans ORDER BY block_time DESC",false,false,synthetic,defi,lending,flash_loan_events_series,time|borrower|amount|fee,series
126,"token unlock schedule","","[""tokenomics""]",v2 Dune SQL,"SELECT unlock_date, amount, recipient, vesting_type FROM vesting WHERE unlock_date > now() ORDER BY unlock_date",false,false,synthetic,tokenomics,vesting,upcoming_token_unlock_series,date|amount|recipient|type,series
127,"daily dex volume","","[""defi"",""dex""]",v2 Dune SQL,"WITH swaps AS (...) SELECT day, SUM(amount_usd) AS volume, COUNT(*) AS trades FROM swaps GROUP BY 1 ORDER BY day",false,false,synthetic,defi,dex,daily_dex_volume_timeseries,date|volume|trade_count,time_series
128,"governance proposals","","[""defi"",""governance""]",v2 Dune SQL,"SELECT proposal_id, title, proposer, status, votes_for, votes_against, quorum_reached FROM proposals ORDER BY proposal_id DESC",false,false,synthetic,defi,governance,governance_proposal_list_series,id|title|proposer|status|votes,series
129,"wallet first and last activity","","[""identity""]",v2 Dune SQL,"SELECT address, MIN(block_time) AS first_seen, MAX(block_time) AS last_seen, COUNT(*) AS total_txns FROM transactions GROUP BY 1 WHERE address = 0x...",false,false,synthetic,identity,wallet_profile,wallet_activity_span_lookup,address|first_seen|last_seen|tx_count,lookup
130,"top yield farms","","[""defi"",""yield""]",v2 Dune SQL,"WITH farm_data AS (...) SELECT pool, reward_token, apr, tvl, daily_rewards ORDER BY apr DESC",false,false,synthetic,defi,yield,top_yield_pools_leaderboard,pool|reward_token|apr|tvl|rewards,leaderboard
131,"daily fees collected","","[""activity"",""fees""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, SUM(fee_amount) AS total_fees, SUM(fee_amount * price) AS fees_usd FROM fees GROUP BY 1 ORDER BY day",false,false,synthetic,activity,fees,daily_fee_revenue_timeseries,date|fees|fees_usd,time_series
132,"stablecoin peg deviation","","[""stablecoins""]",v2 Dune SQL,"WITH hourly_prices AS (...) SELECT hour, price, ABS(price - 1.0) AS deviation FROM prices ORDER BY hour",false,false,synthetic,stablecoins,peg,stablecoin_peg_deviation_timeseries,time|price|deviation,time_series
133,"contract creation events","","[""infrastructure""]",v2 Dune SQL,"SELECT block_time, deployer, contract_address, bytecode_hash FROM traces WHERE type = 'create' ORDER BY block_time DESC",false,false,synthetic,infrastructure,contracts,contract_deployment_events_series,time|deployer|contract|bytecode_hash,series
134,"nft collection stats","","[""nft""]",v2 Dune SQL,"SELECT collection, floor_price, total_volume, holder_count, listed_count, unique_owners",false,false,synthetic,nft,marketplace,collection_stats_snapshot,collection|floor|volume|holders|listed|owners,snapshot
135,"liquidity pool positions","","[""defi"",""dex""]",v2 Dune SQL,"WITH lp_positions AS (...) SELECT address, pool, liquidity, share_pct, tick_lower, tick_upper ORDER BY liquidity DESC",false,false,synthetic,defi,dex,liquidity_provider_positions_leaderboard,address|pool|liquidity|share|tick_range,leaderboard
136,"token transfer graph","","[""transfers""]",v2 Dune SQL,"SELECT tx_from, tx_to, SUM(amount) AS total_transferred, COUNT(*) AS transfer_count FROM transfers GROUP BY 1,2 ORDER BY total_transferred DESC",false,false,synthetic,transfers,flow,transfer_graph_edge_leaderboard,sender|receiver|total_amount|count,leaderboard
137,"daily active contracts","","[""infrastructure""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, COUNT(DISTINCT to) AS active_contracts FROM transactions WHERE to IS NOT NULL GROUP BY 1 ORDER BY day",false,false,synthetic,infrastructure,contracts,daily_active_contracts_timeseries,date|contract_count,time_series
138,"yield curve over time","","[""defi"",""yield""]",v2 Dune SQL,"WITH daily_rates AS (...) SELECT day, rate_1d, rate_7d, rate_30d, rate_90d ORDER BY day",false,false,synthetic,defi,yield,yield_rate_curve_timeseries,date|rate_1d|rate_7d|rate_30d|rate_90d,time_series
139,"mempool pending txns","","[""infrastructure""]",v2 Dune SQL,"SELECT tx_hash, from_address, to_address, value, gas_price, nonce FROM mempool WHERE status = 'pending' ORDER BY gas_price DESC",false,false,synthetic,infrastructure,mempool,pending_transaction_queue_snapshot,hash|from|to|value|gas_price|nonce,snapshot
140,"wallet labels lookup","","[""identity""]",v2 Dune SQL,"SELECT address, label, source, category, confidence FROM labels.addresses WHERE address = 0x...",false,false,synthetic,identity,labels,single_address_label_lookup,address|label|source|category|confidence,lookup
141,"nft sales history","","[""nft""]",v2 Dune SQL,"SELECT block_time, buyer, seller, token_id, price_eth, price_usd FROM nft_trades WHERE collection = '...' ORDER BY block_time DESC",false,false,synthetic,nft,marketplace,collection_sales_history_series,time|buyer|seller|token_id|price,series
142,"top gas spenders","","[""infrastructure""]",v2 Dune SQL,"SELECT tx_from, SUM(gas_used * effective_gas_price) AS total_gas_spent, COUNT(*) AS tx_count FROM transactions GROUP BY 1 ORDER BY total_gas_spent DESC LIMIT 50",false,false,synthetic,infrastructure,gas,top_gas_spenders_leaderboard,address|gas_spent|tx_count,leaderboard
143,"daily staking deposits","","[""defi"",""staking""]",v2 Dune SQL,"WITH deposits AS (...) SELECT day, SUM(amount) AS total_deposited, COUNT(DISTINCT depositor) AS unique_depositors FROM deposits GROUP BY 1 ORDER BY day",false,false,synthetic,defi,staking,daily_staking_deposit_timeseries,date|deposited|depositor_count,time_series
144,"cross-chain asset balances","","[""holders""]",v2 Dune SQL,"WITH chain_balances AS (...) SELECT chain, token, balance, usd_value FROM balances WHERE address = 0x... ORDER BY usd_value DESC",false,false,synthetic,holders,balances,multi_chain_balance_snapshot,chain|token|balance|usd_value,snapshot
145,"oracle price feeds","","[""infrastructure""]",v2 Dune SQL,"SELECT feed_name, latest_price, last_updated, deviation, heartbeat FROM oracle_feeds ORDER BY last_updated DESC",false,false,synthetic,infrastructure,oracles,oracle_feed_status_snapshot,feed|price|updated|deviation|heartbeat,snapshot
146,"dex pair registry","","[""defi"",""dex""]",v2 Dune SQL,"SELECT pair_address, token0, token1, exchange, fee_tier, created_at FROM pairs ORDER BY created_at DESC",false,false,synthetic,defi,dex,trading_pair_registry,pair|token0|token1|exchange|fee|created,registry
147,"rollup batch submissions","","[""infrastructure""]",v2 Dune SQL,"SELECT block_time, batch_index, tx_count, data_size, submitter FROM batches ORDER BY block_time DESC",false,false,synthetic,infrastructure,rollup,rollup_batch_submission_series,time|batch|tx_count|size|submitter,series
148,"daily burn amount","","[""tokenomics""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, SUM(burned_amount) AS total_burned FROM burns GROUP BY 1 ORDER BY day",false,false,synthetic,tokenomics,burns,daily_token_burn_timeseries,date|burned_amount,time_series
149,"staking positions","","[""defi"",""staking""]",v2 Dune SQL,"WITH stakers AS (...) SELECT address, staked_amount, shares, entry_date ORDER BY staked_amount DESC",false,false,synthetic,defi,staking,staking_position_leaderboard,address|staked|shares|entry_date,leaderboard
150,"amm pool utilization","","[""defi"",""dex""]",v2 Dune SQL,"SELECT pool, tvl, volume_24h, volume_24h/tvl AS utilization_ratio, fee_tier FROM pools ORDER BY utilization_ratio DESC",false,false,synthetic,defi,dex,pool_utilization_ratio_leaderboard,pool|tvl|volume|utilization|fee,leaderboard
151,"governance voter list","","[""defi"",""governance""]",v2 Dune SQL,"SELECT voter, vote_power, proposals_voted, last_vote_date, delegate FROM voters ORDER BY vote_power DESC",false,false,synthetic,defi,governance,governance_voter_leaderboard,voter|power|proposals_voted|last_vote|delegate,leaderboard
152,"nft wash trading detection","","[""nft""]",v2 Dune SQL,"WITH trades AS (...) circular AS (...) SELECT address, self_trade_count, self_trade_volume, total_volume, wash_pct ORDER BY wash_pct DESC",false,false,synthetic,nft,trading,wash_trading_detection_leaderboard,address|self_trades|self_volume|total_volume|wash_pct,leaderboard
153,"funding rate history","","[""defi"",""derivatives""]",v2 Dune SQL,"WITH rates AS (...) SELECT timestamp, funding_rate, mark_price, index_price FROM rates ORDER BY timestamp",false,false,synthetic,defi,derivatives,funding_rate_history_timeseries,time|funding_rate|mark_price|index_price,time_series
154,"mev bot activity","","[""infrastructure"",""mev""]",v2 Dune SQL,"SELECT block_number, bot_address, tx_hash, mev_type, profit_eth FROM mev_transactions ORDER BY block_number DESC",false,false,synthetic,infrastructure,mev,mev_extraction_events_series,block|bot|hash|type|profit,series
155,"daily mev profit","","[""infrastructure"",""mev""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, SUM(profit) AS total_profit, COUNT(*) AS mev_txns, COUNT(DISTINCT bot) AS active_bots FROM mev GROUP BY 1 ORDER BY day",false,false,synthetic,infrastructure,mev,daily_mev_profit_timeseries,date|profit|tx_count|bot_count,time_series
156,"wallet age distribution","","[""identity""]",v2 Dune SQL,"WITH wallet_ages AS (...) SELECT age_bucket, wallet_count, avg_balance FROM (CASE WHEN age_days < 30 THEN 'new' ...) GROUP BY 1",false,false,synthetic,identity,wallet_profile,wallet_age_distribution_snapshot,age_bucket|wallet_count|avg_balance,snapshot
157,"token velocity","","[""tokenomics""]",v2 Dune SQL,"WITH daily_transfers AS (...) supply AS (...) SELECT day, transfer_volume / total_supply AS velocity ORDER BY day",false,false,synthetic,tokenomics,velocity,token_velocity_timeseries,date|velocity,time_series
158,"lending utilization trend","","[""defi"",""lending""]",v2 Dune SQL,"WITH hourly AS (...) SELECT hour, total_supplied, total_borrowed, utilization_pct ORDER BY hour",false,false,synthetic,defi,lending,lending_utilization_timeseries,time|supplied|borrowed|utilization,time_series
159,"sandwich attack log","","[""infrastructure"",""mev""]",v2 Dune SQL,"SELECT block_number, victim_tx, frontrun_tx, backrun_tx, attacker, profit FROM sandwiches ORDER BY block_number DESC",false,false,synthetic,infrastructure,mev,sandwich_attack_events_series,block|victim_tx|frontrun|backrun|attacker|profit,series
160,"weekly cohort retention","","[""activity""]",v2 Dune SQL,"WITH cohorts AS (...) SELECT cohort_week, weeks_since_first, active_users, retention_pct FROM retention ORDER BY cohort_week, weeks_since_first",false,false,synthetic,activity,users,weekly_cohort_retention_timeseries,cohort_week|weeks_since|active|retention_pct,time_series
161,"airdrop eligibility check","","[""tokenomics""]",v2 Dune SQL,"SELECT address, eligible, criteria_met, estimated_amount FROM eligibility WHERE address = 0x...",false,false,synthetic,tokenomics,airdrops,airdrop_eligibility_lookup,address|eligible|criteria|amount,lookup
162,"protocol revenue comparison","","[""activity"",""fees""]",v2 Dune SQL,"WITH revenues AS (...) SELECT protocol_category, SUM(fees_usd) AS revenue_30d, SUM(fees_usd)/unique_users AS revenue_per_user ORDER BY revenue_30d DESC",false,false,synthetic,activity,fees,protocol_revenue_comparison_leaderboard,category|revenue|revenue_per_user,leaderboard
163,"delegated voting power","","[""defi"",""governance""]",v2 Dune SQL,"SELECT delegate, delegators_count, total_voting_power, pct_of_total FROM delegates ORDER BY total_voting_power DESC",false,false,synthetic,defi,governance,delegation_power_leaderboard,delegate|delegator_count|power|pct,leaderboard
164,"erc20 token registry","","[""identity""]",v2 Dune SQL,"SELECT contract_address, name, symbol, decimals, total_supply, deployer FROM erc20_tokens ORDER BY total_supply DESC",false,false,synthetic,identity,tokens,token_contract_registry,contract|name|symbol|decimals|supply|deployer,registry
165,"block production times","","[""infrastructure""]",v2 Dune SQL,"SELECT block_number, timestamp, proposer, slot, block_time_ms FROM blocks ORDER BY block_number DESC LIMIT 1000",false,false,synthetic,infrastructure,blocks,recent_block_production_series,block|time|proposer|slot|block_time_ms,series
166,"average block time trend","","[""infrastructure""]",v2 Dune SQL,"SELECT date_trunc('hour', timestamp) AS hour, AVG(block_time_ms) AS avg_block_time, COUNT(*) AS blocks FROM blocks GROUP BY 1 ORDER BY hour",false,false,synthetic,infrastructure,blocks,average_block_time_timeseries,hour|avg_block_time|block_count,time_series
167,"nft holder overlap","","[""nft""]",v2 Dune SQL,"WITH holders_a AS (...) holders_b AS (...) SELECT address, holds_a, holds_b FROM holders_a FULL OUTER JOIN holders_b USING (address)",false,false,synthetic,nft,holders,collection_holder_overlap_snapshot,address|holds_a|holds_b,snapshot
168,"perpetuals open interest","","[""defi"",""derivatives""]",v2 Dune SQL,"WITH oi AS (...) SELECT day, long_oi, short_oi, total_oi, long_short_ratio ORDER BY day",false,false,synthetic,defi,derivatives,open_interest_timeseries,date|long_oi|short_oi|total_oi|ratio,time_series
169,"token concentration index","","[""holders""]",v2 Dune SQL,"WITH top_holders AS (...) SELECT top_10_pct, top_50_pct, top_100_pct, herfindahl_index FROM concentration",false,false,synthetic,holders,distribution,holder_concentration_index_snapshot,top_10_pct|top_50_pct|top_100_pct|hhi,snapshot
170,"stablecoin flows between chains","","[""stablecoins""]",v2 Dune SQL,"WITH inflows AS (...) outflows AS (...) SELECT chain, net_flow_24h, net_flow_7d, total_supply ORDER BY ABS(net_flow_24h) DESC",false,false,synthetic,stablecoins,flow,stablecoin_cross_chain_flow_snapshot,chain|net_flow_24h|net_flow_7d|supply,snapshot
171,"smart contract events log","","[""infrastructure""]",v2 Dune SQL,"SELECT block_time, contract, event_name, topic0, decoded_data FROM logs WHERE contract = 0x... ORDER BY block_time DESC",false,false,synthetic,infrastructure,contracts,contract_event_log_series,time|contract|event|topic|data,series
172,"whale accumulation tracker","","[""holders""]",v2 Dune SQL,"WITH daily_balances AS (...) SELECT day, whale_count, total_whale_balance, pct_of_supply FROM daily_balances ORDER BY day",false,false,synthetic,holders,whale,whale_accumulation_timeseries,date|whale_count|balance|pct_supply,time_series
173,"dex aggregator market share","","[""defi"",""dex""]",v2 Dune SQL,"WITH agg_volume AS (...) SELECT aggregator, volume_24h, volume_7d, market_share_pct, trade_count ORDER BY volume_24h DESC",false,false,synthetic,defi,dex,aggregator_market_share_leaderboard,aggregator|volume_24h|volume_7d|share|trades,leaderboard
174,"bridge exploit tracker","","[""bridge""]",v2 Dune SQL,"SELECT block_time, bridge, attacker, amount_stolen, method FROM exploits ORDER BY block_time DESC",false,false,synthetic,bridge,security,bridge_exploit_events_series,time|bridge|attacker|amount|method,series
175,"daily new token deployments","","[""tokenomics""]",v2 Dune SQL,"SELECT date_trunc('day', created_at) AS day, COUNT(*) AS new_tokens FROM erc20_tokens GROUP BY 1 ORDER BY day",false,false,synthetic,tokenomics,launches,daily_new_token_deployment_timeseries,date|token_count,time_series
176,"dao treasury holdings","","[""defi"",""governance""]",v2 Dune SQL,"SELECT token, balance, usd_value, pct_of_treasury FROM treasury WHERE dao = '...' ORDER BY usd_value DESC",false,false,synthetic,defi,governance,treasury_holdings_snapshot,token|balance|usd_value|pct,snapshot
177,"blob gas market","","[""infrastructure""]",v2 Dune SQL,"SELECT block_number, blob_gas_used, blob_gas_price, blob_count, excess_blob_gas FROM blocks ORDER BY block_number DESC",false,false,synthetic,infrastructure,blobs,blob_gas_market_series,block|gas_used|gas_price|blob_count|excess,series
178,"daily liquidation volume","","[""defi"",""lending""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, COUNT(*) AS liquidations, SUM(seized_amount_usd) AS volume FROM liquidations GROUP BY 1 ORDER BY day",false,false,synthetic,defi,lending,daily_liquidation_volume_timeseries,date|liquidation_count|volume_usd,time_series
179,"ens domain registry","","[""identity""]",v2 Dune SQL,"SELECT name, owner, expiry_date, registration_date, resolver FROM ens_names WHERE name LIKE '%.eth' ORDER BY registration_date DESC",false,false,synthetic,identity,naming,domain_registration_registry,name|owner|expiry|registered|resolver,registry
180,"token emission schedule","","[""tokenomics""]",v2 Dune SQL,"WITH emissions AS (...) SELECT month, circulating_supply, new_emissions, inflation_rate FROM schedule ORDER BY month",false,false,synthetic,tokenomics,emissions,token_emission_schedule_timeseries,month|circulating|emissions|inflation,time_series
181,"nft royalty revenue","","[""nft""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, SUM(royalty_amount) AS total_royalties, COUNT(*) AS sales_with_royalty FROM trades WHERE royalty_amount > 0 GROUP BY 1 ORDER BY day",false,false,synthetic,nft,marketplace,daily_royalty_revenue_timeseries,date|royalties|sale_count,time_series
182,"lending rate arbitrage","","[""defi"",""lending""]",v2 Dune SQL,"WITH rates AS (...) SELECT pool_a, pool_b, rate_a, rate_b, spread FROM cross_rates WHERE spread > 0.01 ORDER BY spread DESC",false,false,synthetic,defi,lending,lending_rate_spread_leaderboard,pool_a|pool_b|rate_a|rate_b|spread,leaderboard
183,"block reward history","","[""infrastructure""]",v2 Dune SQL,"SELECT date_trunc('day', timestamp) AS day, AVG(block_reward) AS avg_reward, SUM(block_reward) AS total_rewards FROM blocks GROUP BY 1 ORDER BY day",false,false,synthetic,infrastructure,blocks,daily_block_reward_timeseries,date|avg_reward|total_rewards,time_series
184,"stablecoin depeg events","","[""stablecoins""]",v2 Dune SQL,"WITH prices AS (...) SELECT timestamp, price, deviation, duration_hours FROM depeg_events WHERE ABS(price - 1.0) > 0.01 ORDER BY timestamp DESC",false,false,synthetic,stablecoins,peg,stablecoin_depeg_event_series,time|price|deviation|duration,series
185,"daily inscription count","","[""infrastructure""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, COUNT(*) AS inscriptions, SUM(fee) AS total_fees FROM inscriptions GROUP BY 1 ORDER BY day",false,false,synthetic,infrastructure,inscriptions,daily_inscription_volume_timeseries,date|inscription_count|fees,time_series
